# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          0.00000000
        -19.99733333          0.00000000
        -19.99466667          0.00000000
        -19.99200000          0.00000000
        -19.98933333          0.00000000
        -19.98666667          0.00000000
        -19.98400000          0.00000000
        -19.98133333          0.00000000
        -19.97866667          0.00000000
        -19.97600000          0.00000000
        -19.97333333          0.00000000
        -19.97066667          0.00000000
        -19.96800000          0.00000000
        -19.96533333          0.00000000
        -19.96266667          0.00000000
        -19.96000000          0.00000000
        -19.95733333          0.00000000
        -19.95466667          0.00000000
        -19.95200000          0.00000000
        -19.94933333          0.00000000
        -19.94666667          0.00000000
        -19.94400000          0.00000000
        -19.94133333          0.00000000
        -19.93866667          0.00000000
        -19.93600000          0.00000000
        -19.93333333          0.00000000
        -19.93066667          0.00000000
        -19.92800000          0.00000000
        -19.92533333          0.00000000
        -19.92266667          0.00000000
        -19.92000000          0.00000000
        -19.91733333          0.00000000
        -19.91466667          0.00000000
        -19.91200000          0.00000000
        -19.90933333          0.00000000
        -19.90666667          0.00000000
        -19.90400000          0.00000000
        -19.90133333          0.00000000
        -19.89866667          0.00000000
        -19.89600000          0.00000000
        -19.89333333          0.00000000
        -19.89066667          0.00000000
        -19.88800000          0.00000000
        -19.88533333          0.00000000
        -19.88266667          0.00000000
        -19.88000000          0.00000000
        -19.87733333          0.00000000
        -19.87466667          0.00000000
        -19.87200000          0.00000000
        -19.86933333          0.00000000
        -19.86666667          0.00000000
        -19.86400000          0.00000000
        -19.86133333          0.00000000
        -19.85866667          0.00000000
        -19.85600000          0.00000000
        -19.85333333          0.00000000
        -19.85066667          0.00000000
        -19.84800000          0.00000000
        -19.84533333          0.00000000
        -19.84266667          0.00000000
        -19.84000000          0.00000000
        -19.83733333          0.00000000
        -19.83466667          0.00000000
        -19.83200000          0.00000000
        -19.82933333          0.00000000
        -19.82666667          0.00000000
        -19.82400000          0.00000000
        -19.82133333          0.00000000
        -19.81866667          0.00000000
        -19.81600000          0.00000000
        -19.81333333          0.00000000
        -19.81066667          0.00000000
        -19.80800000          0.00000000
        -19.80533333          0.00000000
        -19.80266667          0.00000000
        -19.80000000          0.00000000
        -19.79733333          0.00000000
        -19.79466667          0.00000000
        -19.79200000          0.00000000
        -19.78933333          0.00000000
        -19.78666667          0.00000000
        -19.78400000          0.00000000
        -19.78133333          0.00000000
        -19.77866667          0.00000000
        -19.77600000          0.00000000
        -19.77333333          0.00000000
        -19.77066667          0.00000000
        -19.76800000          0.00000000
        -19.76533333          0.00000000
        -19.76266667          0.00000000
        -19.76000000          0.00000000
        -19.75733333          0.00000000
        -19.75466667          0.00000000
        -19.75200000          0.00000000
        -19.74933333          0.00000000
        -19.74666667          0.00000000
        -19.74400000          0.00000000
        -19.74133333          0.00000000
        -19.73866667          0.00000000
        -19.73600000          0.00000000
        -19.73333333          0.00000000
        -19.73066667          0.00000000
        -19.72800000          0.00000000
        -19.72533333          0.00000000
        -19.72266667          0.00000000
        -19.72000000          0.00000000
        -19.71733333          0.00000000
        -19.71466667          0.00000000
        -19.71200000          0.00000000
        -19.70933333          0.00000000
        -19.70666667          0.00000000
        -19.70400000          0.00000000
        -19.70133333          0.00000000
        -19.69866667          0.00000000
        -19.69600000          0.00000000
        -19.69333333          0.00000000
        -19.69066667          0.00000000
        -19.68800000          0.00000000
        -19.68533333          0.00000000
        -19.68266667          0.00000000
        -19.68000000          0.00000000
        -19.67733333          0.00000000
        -19.67466667          0.00000000
        -19.67200000          0.00000000
        -19.66933333          0.00000000
        -19.66666667          0.00000000
        -19.66400000          0.00000000
        -19.66133333          0.00000000
        -19.65866667          0.00000000
        -19.65600000          0.00000000
        -19.65333333          0.00000000
        -19.65066667          0.00000000
        -19.64800000          0.00000000
        -19.64533333          0.00000000
        -19.64266667          0.00000000
        -19.64000000          0.00000000
        -19.63733333          0.00000000
        -19.63466667          0.00000000
        -19.63200000          0.00000000
        -19.62933333          0.00000000
        -19.62666667          0.00000000
        -19.62400000          0.00000000
        -19.62133333          0.00000000
        -19.61866667          0.00000000
        -19.61600000          0.00000000
        -19.61333333          0.00000000
        -19.61066667          0.00000000
        -19.60800000          0.00000000
        -19.60533333          0.00000000
        -19.60266667          0.00000000
        -19.60000000          0.00000000
        -19.59733333          0.00000000
        -19.59466667          0.00000000
        -19.59200000          0.00000000
        -19.58933333          0.00000000
        -19.58666667          0.00000000
        -19.58400000          0.00000000
        -19.58133333          0.00000000
        -19.57866667          0.00000000
        -19.57600000          0.00000000
        -19.57333333          0.00000000
        -19.57066667          0.00000000
        -19.56800000          0.00000000
        -19.56533333          0.00000000
        -19.56266667          0.00000000
        -19.56000000          0.00000000
        -19.55733333          0.00000000
        -19.55466667          0.00000000
        -19.55200000          0.00000000
        -19.54933333          0.00000000
        -19.54666667          0.00000000
        -19.54400000          0.00000000
        -19.54133333          0.00000000
        -19.53866667          0.00000000
        -19.53600000          0.00000000
        -19.53333333          0.00000000
        -19.53066667          0.00000000
        -19.52800000          0.00000000
        -19.52533333          0.00000000
        -19.52266667          0.00000000
        -19.52000000          0.00000000
        -19.51733333          0.00000000
        -19.51466667          0.00000000
        -19.51200000          0.00000000
        -19.50933333          0.00000000
        -19.50666667          0.00000000
        -19.50400000          0.00000000
        -19.50133333          0.00000000
        -19.49866667          0.00000000
        -19.49600000          0.00000000
        -19.49333333          0.00000000
